NO：C25-6083,,,,义乌市佰世威厨具有限公司销售单,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,销售日期：2026-03-15,,,,,,,,,
备用电话：,,,,,,,,,,,,,送货日期：,,,,,,,,,
送货地址：,,,,,,,,,,,,,,,,,,,,,,
"NO.
序号","DATE
订单日期","ORD NO.
销售单号","CUS NO.
客户货号","ITEM NO.
产品货号","PHOTO
图片1","PHOTO2
图片1","DES.
描述","CTN
总箱数","QTY
每箱数量","T.QTY
总数量","U/P
单价","AMOUNT
金额","L
长","W
宽","H
高","CBM
体积","G.W.
重量","T.T.CBM
总体积","T.T.KGS
总重量","CODE
条形码","REK
备注","W.H.
仓位"
1,2026-03-15,C25- 6083,,CPK-014,,,"Storage jar 3pcs/color box,unit:set
13*13*14cm",10,12,120,32,3840,54,39,43,0.09,20.9,0.91,209,6665202102637,,浦江仓
2,2026-03-15,C25- 6083,,BW20- 15/1C,,,"800ml tea pot 1pcs/color box;unit:pcs
16*7.5*10cm,43",10,24,240,12,2880,55,36,41,0.08,16.95,0.81,169.5,6665202051980,,浦江仓
3,2026-03-15,C25- 6083,,CZT09-01,,,"500ml tea pot 1pcs/color box 16*9.7*11cm,38
8g",10,36,360,12,4320,48,45,38,0.08,17.8,0.82,178,6665202018129,,浦江仓
4,2026-03-15,C25- 6083,,BW20- 11/1C,,,"550ml tea pot 1pcs/color box;unit:pcs
16*7.5*10cm,43",5,36,180,11,1980,51.5,47.5,40.8,0.10,19,0.50,95,6665202051942,,3仓
5,2026-03-15,C25- 6083,,GS2105-01,,,"2.7L Salad bowl 1pcs/color box,unit:pcs
bowl&wooden",5,8,40,28,1120,54,29,48,0.08,14,0.38,70,6663212112202,,浦江仓
6,2026-03-15,C25- 6083,,GS2105-03,,,"2.7L Salad bowl 1pcs/color box,unit:pcs
bowl&wooden",15,8,120,28,3360,53.5,29.5,49,0.08,14.5,1.16,217.5,6663212112776,,浦江仓
7,2026-03-15,C25- 6083,,BW20-58,,,"370ml  mug 12pcs/inner box;unit:pcs
8*8*9cm,364g",50,48,2400,3.8,9120,49.5,32,46,0.07,20.3,3.64,1015,6665202056541,,浦江仓
8,2026-03-15,C25- 6083,,BW20-136- 1,,,"10.6"" Plate 6pcs/inner box,unit:pcs
26.9*26.9*3cm,7",10,24,240,8,1920,36.5,30,29,0.03,18.3,0.32,183,6665202112322,,浦江仓
9,2026-03-15,C25- 6083,,BW20-55,,,"400ml  mug 12pcs/inner box;unit:pcs
8*8*9cm,316g",10,48,480,3.5,1680,48,29,47,0.07,18,0.65,180,6665202056510,,浦江仓
10,2026-03-15,C25- 6083,,CPK-057,,,"340ml Mug 24pcs/display box,unit:pcs
8.1*10cm",5,48,240,5.5,1320,35.5,32,44,0.05,16.35,0.25,81.75,6665202102095,,浦江仓
11,2026-03-15,C25- 6083,,WY34-02,,,"10.5""Dinner Plate 6pcs/inner box
,Unit:Pcs",5,18,90,12.5,1125,34,30.5,31,0.03,13.5,0.16,67.5,6912024130424,,浦江仓
12,2026-03-15,C25- 6083,,WY31-02,,,"10.5""Dinner Plate 6pcs/inner box
,Unit:Pcs",5,18,90,12.5,1125,32,31.5,32,0.03,12.5,0.16,62.5,6912024130226,,浦江仓
13,2026-03-15,C25- 6083,,WY31-05,,,"9""Serving Bowl 3pcs/inner box, Unit:Pcs
25*10cm",5,12,60,16,960,57,34.5,30,0.06,11.2,0.29,56,6912024130257,,浦江仓
14,2026-03-15,C25- 6083,,WY34-05,,,"9""Serving Bowl 3pcs/inner box, Unit:Pcs
25*10cm",5,12,60,16,960,54,34.5,27,0.05,11,0.25,55,6912024130455,,浦江仓
15,2026-03-15,C25- 6083,,ZHG3T-W,,,"3pcs Casserole Set
3 pcs color box
unit:set",20,4,80,42,3360,0,0,0,0.00,0,0.00,0,6912024153560,,浦江仓
16,2026-03-15,C25- 6083,,KFB250-W,,,"250ml Cup&Saucer 6+6
6+6/color box,",5,12,60,28,1680,58.5,32,44.5,0.08,27.9,0.42,139.5,6918881822632,,东阳仓
18,2026-03-15,C25- 6083,,DH4251,,,"Grater Unit:PCS 12.5*12.5*24.5c
m",10,48,480,12,5760,48,38.5,50.5,0.09,18,0.93,180,6900202506871,,浦江仓
19,2026-03-15,C25- 6083,,MO-012-20,,,"Sauce Pan without Lid Unit:PCS
20*93*2.5cm",10,6,60,39,2340,45,30.5,35.5,0.05,5.6,0.49,56,6667202130535,,浦江仓
20,2026-03-15,C25- 6083,,MO-012-18,,,"Sauce Pan without Lid Unit:PCS
18*85*2.5cm",10,6,60,35,2100,41.5,26.5,33,0.04,4.8,0.36,48,6667202130528,,浦江仓
21,2026-03-15,C25- 6083,,MO-012-16,,,"Sauce Pan without Lid Unit:PCS
16*75*2.5cm",5,6,30,29,870,37.5,25.5,27,0.03,4,0.13,20,6667202130511,,浦江仓
22,2026-03-15,C25- 6083,,C012-26,,,"Casserole Unit:PCS 26*11.0*2.5cm
Aluminum",10,6,60,69,4140,45,28,32,0.04,10.5,0.40,105,6667202130566,,东阳仓
23,2026-03-15,C25- 6083,,C012-24,,,"Casserole Unit:PCS 24*10.5*2.5cm
Aluminum",10,6,60,63,3780,53,39,40,0.08,11.2,0.83,112,6667202130559,,东阳仓
24,2026-03-15,C25- 6083,,C012-20,,,"Casserole Unit:PCS 20*93*2.5cm
Aluminum",10,6,60,53,3180,46.5,33,37,0.06,8.9,0.57,89,6667202130542,,东阳仓
25,2026-03-15,C25- 6083,,PL012-18,,,"Glass Lid Unit:PCS 18cm
Glass",5,12,60,11.5,690,40,20,34,0.03,5.2,0.14,26,6667202132027,,东阳仓
26,2026-03-15,C25- 6083,,HB01-02,,,"2pcs Tray Set 2pcs/set,unit:set Big:45*33*5
Small:40*30*5",10,10,100,28.8,2880,70,48,34,0.11,15.2,1.14,152,6665202116955,,浦江仓
27,2026-03-15,C25- 6083,,ZYB185,,,"Skillet Unit:PCS 25.5*5.0cm
10Inch",10,3,30,28.5,855,39,27.5,16,0.02,7.2,0.17,72,6667202126941,,浦江仓
28,2026-03-15,C25- 6083,,ZYB186,,,"Skillet Unit:PCS 30*5.8cm
12Inch",10,4,40,41,1640,42,32,16.5,0.02,13.5,0.22,135,6667202126958,,浦江仓
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
91,2026-03-15,C25- 6083,,SS48-03,,,garlic press 12.7cm 304# s.s.,5,18,90,37.5,3375,43,43,52.5,0.10,34,0.49,170,6912024133463,,浦江仓
92,2026-03-15,C25- 6083,,SS48-02,,,garlic press 10cm 304# s.s.,5,24,120,29.5,3540,59.5,43,35.5,0.09,33.25,0.45,166.3,6912024133456,,浦江仓
93,2026-03-15,C25- 6083,,DZ125-1,,,"Dinner Knife 6pcs 25set/inner box
22.5cm 55g",2,100,200,10.9,2180,0,0,0,0.00,0,0.00,0,6667202133697,,浦江仓
94,2026-03-15,C25- 6083,,DZ125-3,,,"Dinner Fork 6pcs 25set/inner box
20.8cm 35g",2,100,200,7.6,1520,0,0,0,0.00,0,0.00,0,6667202133710,,浦江仓
95,2026-03-15,C25- 6083,,DZ125-2,,,"Dinner Spoon 6pcs 25set/inner box
21.5cm 45g",2,100,200,7.6,1520,0,0,0,0.00,0,0.00,0,6667202133703,,浦江仓
96,2026-03-15,C25- 6083,,DZ125-4,,,"Dessert Spoon 6pcs 25set/inner box
15.7cm 20g",2,150,300,6.3,1890,0,0,0,0.00,0,0.00,0,6667202133727,,浦江仓
97,2026-03-15,C25- 6083,,DH4344,,,"Kitchen Tool Set 7pcs Unit:Set
Silicone",5,12,60,45.2,2712,63,47.5,43,0.13,15.5,0.64,77.5,6900202508332,,浦江仓
98,2026-03-15,C25- 6083,,LQP75,,,"7.5""dessert plate 6pcs/inner box,
Unit:Pcs",20,48,960,2.5,2400,42,21,22.5,0.02,12.6,0.40,252,6920240409163,,东阳仓
99,2026-03-15,C25- 6083,,LQP95,,,"9.5""dinner plate 6pcs/inner box,
Unit:Pcs
24.3*2cm",20,36,720,3.6,2592,36,26.5,28.5,0.03,14.5,0.54,290,6920240409156,,东阳仓
100,2026-03-15,C25- 6083,,LQP105,,,"10.5""large dinner plate 6pcs/inner box,
Unit:Pcs",50,36,1800,4.8,8640,37.5,29,29.5,0.03,17.64,1.60,882,6920240409149,,东阳仓
101,2026-03-15,C25- 6083,,LPKW70,,,"7""bowl 6pcs/inner box, Unit:Pcs
18*7.3cm",20,36,720,3.5,2520,51.5,38,21.5,0.04,14.2,0.84,284,6920240409125,,东阳仓
102,2026-03-15,C25- 6083,,LGCP105,,,"10.5""dinner plate 6pcs/inner box,
Unit:Pcs",50,36,1800,3.8,6840,39.5,29,29,0.03,17.5,1.66,875,6912024133302,,浦江仓
103,2026-03-15,C25- 6083,,LWENP105,,,"10.5""dinner plate 6pcs/inner box,
Unit:Pcs",50,36,1800,3.6,6480,35.5,28.5,28.5,0.03,17,1.44,850,6912024133357,,浦江仓
104,2026-03-15,C25- 6083,,LSQP100,,,"10""dinner plate pcs/inner box, Unit:Pcs
25*3cm",50,36,1800,3.5,6300,0,0,0,0.00,0,0.00,0,6912024151757,,浦江仓
105,2026-03-15,C25- 6083,,OUSTW60,,,"6""bowl 6pcs/inner box, Unit:Pcs
15*7.2cm",20,72,1440,3.2,4608,48.8,44,33,0.07,29.5,1.42,590,6912024133234,,浦江仓
106,2026-03-15,C25- 6083,,ZKW80,,,"8""Serving Bowl 6pcs/inner box,
Unit:Pcs
20x7.5cm",10,24,240,5,1200,52,44,23,0.05,13,0.53,130,6941602680501,,浦江仓
107,2026-03-15,C25- 6083,,LMLW90,,,"9""Serving Bowl 3pcs/inner box, Unit:Pcs
24*24*11CM",10,12,120,4.8,576,0,0,0,0.00,0,0.00,0,6912024153577,,浦江仓
108,2026-03-15,C25- 6083,,LBKP105,,,"10.5Dinner Plate 6pcs/inner box, Unit:Pcs
26.5x26.5x2.5cm",50,36,1800,5.2,9360,37.5,28,29.5,0.03,16.18,1.55,809,6188866879634,,浦江仓
109,2026-03-15,C25- 6083,,LBKP120,,,"12""Serving Plate 6pcs/inner box, Unit:Pcs
30.5x30x2.8cm",10,24,240,6.3,1512,33,27,33,0.03,15.9,0.29,159,6188866879641,,浦江仓
