MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
NEW ORDER,,,,,,,,,,,,,,,,,,,
MS-301-1 SANCARGO,新南方,1,,Ice cream machine,ice cream machine,1pcs/ctn,7CTNS,7pcs,57,74,127,0.536CBM,3.750CBM,95.0KGS,665.0KGS,"¥3,400.00","¥23,800.00",170-278,
MS-301-2 SANCARGO,新南方,2,,Ice cream machine parts-axis,axis,,1CTNS,10pcs,,,,0.000CBM,0.000CBM,,0.0KGS,¥190.00,"¥1,900.00",,
MS-301-3 SANCARGO,新南方,3,,"Ice cream machine parts-
screw",screw,,,10pcs,,,,0.000CBM,0.000CBM,,0.0KGS,¥45.00,¥450.00,,
MS-301-4 SANCARGO,新南方,4,,"Ice cream machine parts-
handle",handle,,,5pcs,,,,0.000CBM,0.000CBM,,0.0KGS,¥85.00,¥425.00,,
MS-301-5 SANCARGO,新南方,5,,"Ice cream machine parts-
panel",panel,,,5pcs,,,,0.000CBM,0.000CBM,,0.0KGS,¥450.00,"¥2,250.00",,
MS-301-6 SANCARGO,新南方,6,,"Desktop hard ice cream
machine",Desktop hard ice cream machine,,1CTNS,1pcs,67,81,69,0.374CBM,0.374CBM,48.5KGS,48.5KGS,"¥2,600.00","¥2,600.00",,
MS-301-7 SANCARGO,新南方,7,,Cola machine,Four head cola machine,1pcs/ctn,4CTNS,4pcs,53,82,88,0.382CBM,1.530CBM,31.8KGS,127.2KGS,"¥3,200.00","¥12,800.00",,
MS-301-8 SANCARGO,新南方,8,,Plastic bottles,500ML cup,100pcs/ctn,5CTNS,500pcs,62,35,37,0.080CBM,0.401CBM,3.4KGS,17.0KGS,¥0.90,¥450.00,,this item 5 ctn has been stuffed into other goods
MS-301-9 SANCARGO,新南方,9,,Fruit film,Fruit film,12pcs/ctn,5CTNS,60pcs,37,55,30,0.061CBM,0.305CBM,65.0KGS,325.0KGS,¥45.00,"¥2,700.00",,
MS-301-10 SANCARGO,新南方,10,,Sealing machine,sealing machine,1pcs/ctn,10CTNS,10pcs,31,26,50,0.040CBM,0.403CBM,9.5KGS,95.0KGS,¥200.00,"¥2,000.00",,this item 2 ctn has been stuffed into other goods
MS-301-11 SANCARGO,新南方,11,,Oil press,oil press,1pcs/ctn,2CTNS,2pcs,34,68,44,0.102CBM,0.203CBM,46.0KGS,92.0KGS,"¥3,800.00","¥7,600.00",,
MS-301-12 SANCARGO,新南方,12,,Electric griddle,818 grill,1pcs/ctn,9CTNS,9pcs,60,47,20,0.056CBM,0.508CBM,19.5KGS,175.5KGS,¥240.00,"¥2,160.00",,
MS-301-13 SANCARGO,新南方,13,,Electric griddle,820 grill,1pcs/ctn,0CTNS,0pcs,78,53,20,0.083CBM,0.000CBM,25.1KGS,0.0KGS,¥420.00,¥0.00,,
MS-301-14 SANCARGO,新南方,14,,Disinfection cabinet,398 disinfection cabinet,1pcs/ctn,1CTNS,1pcs,62,55,178,0.607CBM,0.607CBM,31.5KGS,31.5KGS,¥980.00,¥980.00,,
MS-301-15 SANCARGO,新南方,15,,oven,pizza oven,1pcs/ctn,2CTNS,2pcs,72,78,73,0.410CBM,0.820CBM,58.0KGS,116.0KGS,"¥1,900.00","¥3,800.00",,
MS-301-16 SANCARGO,新南方,16,,Cake Showcase,Arc shaped heating cabinet,1pcs/ctn,2CTNS,2pcs,75,47,77,0.271CBM,0.543CBM,55.0KGS,110.0KGS,"¥1,950.00","¥3,900.00",,
MS-301-17 SANCARGO,新南方,17,,Cake Showcase,Right angle heating cabinet,1pcs/ctn,2CTNS,2pcs,75,67,77,0.387CBM,0.774CBM,55.0KGS,110.0KGS,"¥1,950.00","¥3,900.00",,
MS-301-18 SANCARGO,新南方,18,,Rice steamer,12th floor rice steamer truck,1pcs/ctn,2CTNS,2pcs,70,60,145,0.609CBM,1.218CBM,45.0KGS,90.0KGS,"¥1,200.00","¥2,400.00",,
MS-301-19 SANCARGO,新南方,19,,Meat Dryer,20 layer dryer,1pcs/ctn,3CTNS,3pcs,59,43,59,0.150CBM,0.449CBM,24.0KGS,72.0KGS,"¥1,300.00","¥3,900.00",,
MS-301-20 SANCARGO,新南方,20,,Meat Dryer,10 layer dryer,1pcs/ctn,2CTNS,2pcs,53,47,48,0.120CBM,0.239CBM,13.0KGS,26.0KGS,¥650.00,"¥1,300.00",,
MS-301-21 SANCARGO,新南方,21,,Meat Dryer,80 layer dryer,1pcs/ctn,2CTNS,2pcs,98,66,180,1.164CBM,2.328CBM,61.0KGS,122.0KGS,"¥4,800.00","¥9,600.00",,
MS-301-22 SANCARGO,新南方,22,,Meat Dryer,12 layer dryer,1pcs/ctn,3CTNS,3pcs,53,42,57,0.127CBM,0.381CBM,16.5KGS,49.5KGS,¥750.00,"¥2,250.00",,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
