MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
NEW ORDER,,,,,,,,,,,,,,,
MS-T-201-1 SANCARGO,山屏,1,,Bamboo tray,318#绿格托盘,15pcs/ctn,1CTNS,15pcs,0.088CBM,24.0KGS,24.0KGS,¥55.00,¥825.00,,
MS-T-201-2 SANCARGO,山屏,2,,Bamboo tray,218# 编织托盘,15pcs/ctn,1CTNS,15pcs,0.088CBM,24.0KGS,24.0KGS,¥57.00,¥855.00,,
MS-T-201-3 SANCARGO,山屏,3,,Bamboo tray,A002窗格提手托盘,10pcs/ctn,1CTNS,10pcs,0.110CBM,21.0KGS,21.0KGS,¥68.00,¥680.00,,
MS-T-201-4 SANCARGO,山屏,4,,Bamboo tray,双耳竹托盘三件套,10pcs/ctn,1CTNS,10pcs,0.139CBM,18.0KGS,18.0KGS,¥29.00,¥290.00,,
MS-T-201-5 SANCARGO,山屏,5,,Bamboo tray,303#竹席编织托盘,12pcs/ctn,1CTNS,12pcs,0.126CBM,24.0KGS,24.0KGS,¥85.00,"¥1,020.00",,
MS-T-201-6 SANCARGO,山屏,6,,Bamboo tray,金色圆棍托盘,10pcs/ctn,1CTNS,10pcs,0.111CBM,27.0KGS,27.0KGS,¥50.00,¥500.00,,
MS-T-201-7 SANCARGO,山屏,7,,Bamboo tray,蓝色大理石托盘三件套,10pcs/ctn,1CTNS,10pcs,0.111CBM,27.0KGS,27.0KGS,¥50.00,¥500.00,,
MS-T-202-1 SANCARGO,兴伟陶瓷,1,,Ceramic plates,13.5寸鱼盘,24pcs/ctn,6CTNS,144pcs,0.198CBM,29.0KGS,174.0KGS,¥6.80,¥979.20,,
MS-T-202-2 SANCARGO,兴伟陶瓷,2,,Ceramic plates,12寸平盘,24pcs/ctn,20CTNS,480pcs,0.577CBM,28.0KGS,560.0KGS,¥5.50,"¥2,640.00",,
MS-T-202-3 SANCARGO,兴伟陶瓷,3,,Ceramic plates,11寸平盘,24pcs/ctn,10CTNS,240pcs,0.252CBM,26.0KGS,260.0KGS,¥3.50,¥840.00,,
MS-T-202-4 SANCARGO,兴伟陶瓷,4,,Ceramic plates,10.5寸平盘,32pcs/ctn,70CTNS,2240pcs,1.918CBM,27.0KGS,1890.0KGS,¥3.30,"¥7,392.00",,
MS-T-202-5 SANCARGO,兴伟陶瓷,5,,Ceramic plates,10寸平盘,36pcs/ctn,20CTNS,720pcs,0.539CBM,25.0KGS,500.0KGS,¥3.10,"¥2,232.00",,
MS-T-202-6 SANCARGO,兴伟陶瓷,6,,Ceramic plates,7.5寸平盘,60pcs/ctn,10CTNS,600pcs,0.232CBM,26.0KGS,260.0KGS,¥1.50,¥900.00,,
