Table 1
CLIENT DETAILS :   MOSES. MS-6                                                                      CONTAINER NO:MRSU9802805,,,,,,,,,,,,,,,
ITEM NO., DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT
,,,,,,,,,,,,,,,
NEW ORDER,,,,,,,,,,,,,,,
1,,Tea pot,"500ml tea pot
1pcs/color box
16*9.7*11cm,388g
porcelain",36pcs/ctn,10CTNS,360pcs,48,45,38,0.082CBM,0.821CBM,17.8KGS,178.0KGS,CN¥12.00,"CN¥4,320.00"
2,,Glass Lid,"Glass Lid
Unit:PCS
18cm
Glass",12pcs/ctn,5CTNS,60pcs,40,20,34,0.027CBM,0.136CBM,5.2KGS,26.0KGS,CN¥11.50,CN¥690.00
3,,Bakeware,"12""Bakeware
6pcs/display box,unit:pcs
33.5*24*7cm 1960g
Porcelain",6pcs/ctn,10CTNS,60pcs,48,35,27,0.045CBM,0.454CBM,14.0KGS,140.0KGS,CN¥19.00,"CN¥1,140.00"
4,,Bakeware,"9.8""Bakeware
6pcs/display box,unit:pcs
25*17*6.5cm 992g
Porcelain",6pcs/ctn,5CTNS,30pcs,42,26,19,0.021CBM,0.104CBM,6.8KGS,34.0KGS,CN¥12.00,CN¥360.00
5,,Bakeware,"11""Bakeware
6pcs/display box,unit:pcs
28*17.5*5.8cm 889g
Porcelain",6pcs/ctn,12CTNS,72pcs,41.5,29.5,20,0.024CBM,0.294CBM,6.8KGS,81.6KGS,CN¥13.00,CN¥936.00
6,,Vacuum Jug,"Vacuum Jug-1L
Unit:PCS
9*10.5*20cm
S.S. 201",12pcs/ctn,5CTNS,60pcs,52,39.5,25,0.051CBM,0.257CBM,6.2KGS,31.0KGS,CN¥35.00,"CN¥2,100.00"
7,,Vacuum Jug,"Vacuum Jug-0.6L
Unit:PCS
9*10*14.6cm
S.S. 201",12pcs/ctn,5CTNS,60pcs,52,39.5,20,0.041CBM,0.205CBM,5.2KGS,26.0KGS,CN¥31.00,"CN¥1,860.00"
8,,Vacuum Jug,"Vacuum Jug-1.5L
Unit:PCS
9*10.5*26cm
S.S. 201",12pcs/ctn,5CTNS,60pcs,52,39.5,30.8,0.063CBM,0.316CBM,7.2KGS,36.0KGS,CN¥38.00,"CN¥2,280.00"
9,,Coffee Cup,"Coffee Cup 600ML
Unit:PCS
S.S.304+PP",18pcs/ctn,10CTNS,180pcs,59.5,33,22,0.043CBM,0.432CBM,6.2KGS,62.0KGS,CN¥25.00,"CN¥4,500.00"
10,,Glass cake plate,"glass cake plate
2 pcs/color box,Unit:Box
plate : 18.7*21.5*18.9cm
cover : 17.2*15.8cm",2pcs/ctn,20CTNS,40pcs,66,33,36.5,0.079CBM,1.590CBM,22.0KGS,440.0KGS,CN¥52.00,"CN¥2,080.00"
11,,Glass cup,"Glass cup
2pcs/color box ,Unit:Box
6.4*25.2*7cm
250ml",12pcs/ctn,5CTNS,60pcs,52,36.8,30.7,0.059CBM,0.294CBM,5.3KGS,26.5KGS,CN¥24.00,"CN¥1,440.00"
12,,Glass cup,"Glass cup
2pcs/color box ,Unit:Box
9.2*21.4*7.4cm
350ml",12pcs/ctn,5CTNS,60pcs,41,31.5,47.5,0.061CBM,0.307CBM,6.0KGS,30.0KGS,CN¥25.00,"CN¥1,500.00"
13,,Trash Can,"30LTrash Can
Egg packing;Unit:PCS
29.4*29.4*64cm;Sanded
S/S410+PP",1pcs/ctn,20CTNS,20pcs,33,32,67.5,0.071CBM,1.426CBM,3.8KGS,75.6KGS,CN¥84.50,"CN¥1,690.00"
14,,Trash Can,"12LTrash Can
Egg packing;Unit:PCS
25*25*40.5cm;Sanded
S/S410+PP",4pcs/ctn,10CTNS,40pcs,57.5,55,43.5,0.138CBM,1.376CBM,8.0KGS,80.0KGS,CN¥47.40,"CN¥1,896.00"
15,,Tea pot,"700ml tea pot
17.5*17.5*12.5cm 409g
Porcelain",24pcs/ctn,10CTNS,240pcs,55,31,40.5,0.069CBM,0.691CBM,12.0KGS,120.0KGS,CN¥14.00,"CN¥3,360.00"
16,,Sauce Pan,"Sauce Pan without Lid
Unit:PCS
20*93*2.5cm
Aluminum",6pcs/ctn,10CTNS,60pcs,45,30.5,35.5,0.049CBM,0.487CBM,5.6KGS,56.0KGS,CN¥39.00,"CN¥2,340.00"
17,,Sauce Pan,"Sauce Pan without Lid
Unit:PCS
18*85*2.5cm
Aluminum",6pcs/ctn,10CTNS,60pcs,41.5,26.5,33,0.036CBM,0.363CBM,4.8KGS,48.0KGS,CN¥35.00,"CN¥2,100.00"
18,,Sauce Pan,"Sauce Pan without Lid
Unit:PCS
16*75*2.5cm
Aluminum",6pcs/ctn,5CTNS,30pcs,37.5,25.5,27,0.026CBM,0.129CBM,4.0KGS,20.0KGS,CN¥29.00,CN¥870.00
19,,Casserole  ,"Casserole  
Unit:PCS
26*11.0*2.5cm
Aluminum",6pcs/ctn,10CTNS,60pcs,45,28,32,0.040CBM,0.403CBM,10.5KGS,105.0KGS,CN¥69.00,"CN¥4,140.00"
20,,Casserole  ,"Casserole  
Unit:PCS
24*10.5*2.5cm
Aluminum",6pcs/ctn,10CTNS,60pcs,53,39,40,0.083CBM,0.827CBM,11.2KGS,112.0KGS,CN¥63.00,"CN¥3,780.00"
21,,Casserole  ,"Casserole  
Unit:PCS
20*93*2.5cm
Aluminum",6pcs/ctn,10CTNS,60pcs,46.5,33,37,0.057CBM,0.568CBM,8.9KGS,89.0KGS,CN¥53.00,"CN¥3,180.00"
22,,Tray Set,"2pcs Tray Set
2pcs/set,unit:set
Big:45*33*5
Small:40*30*5 
bamboo",10pcs/ctn,10CTNS,100pcs,70,48,34,0.114CBM,1.142CBM,15.2KGS,152.0KGS,CN¥28.80,"CN¥2,880.00"
23,,Skillet,"Skillet
Unit:PCS
25.5*5.0cm 10Inch
Cast Iron",3pcs/ctn,10CTNS,30pcs,39,27.5,16,0.017CBM,0.172CBM,7.2KGS,72.0KGS,CN¥28.50,CN¥855.00
24,,Skillet,"Skillet
Unit:PCS
30*5.8cm 12Inch
Cast Iron",4pcs/ctn,10CTNS,40pcs,42,32,16.5,0.022CBM,0.222CBM,13.5KGS,135.0KGS,CN¥41.00,"CN¥1,640.00"
25,,Roast chicken platter with grill pan,"Roast chicken platter with grill pan
UNIT:PCS
35.7x28.3x6 cm 0.5mm 
Carbon Steel",12pcs/ctn,8CTNS,96pcs,44,41,60,0.108CBM,0.866CBM,13.5KGS,108.0KGS,CN¥31.00,"CN¥2,976.00"
26,,Baking Pan,"1.8L Baking Pan
29.5*18.1*5.1cm
color card,910g ,unit:Pcs
Glass",12pcs/ctn,5CTNS,60pcs,33.5,31,39,0.041CBM,0.203CBM,11.4KGS,57.0KGS,CN¥9.20,CN¥552.00
27,,Baking Pan,"2.2L Baking Pan
34.4*20.2*5.1cm
color card,1260g ,unit:Pcs
Glass",12pcs/ctn,10CTNS,120pcs,42,36,34.5,0.052CBM,0.522CBM,16.4KGS,164.0KGS,CN¥12.80,"CN¥1,536.00"
28,,Baking Pan,"2.4L Baking Pan
30.3*21.3*6.5cm
color card, 1090g ,unit:Pcs
Glass",12pcs/ctn,10CTNS,120pcs,43,32,42.5,0.058CBM,0.585CBM,7.0KGS,70.0KGS,CN¥10.50,"CN¥1,260.00"
29,,Baking Pan,"1.6L Baking Pan
25.8*17.9*6cm
color card, 775g ,unit:Pcs
Glass",12pcs/ctn,5CTNS,60pcs,37.5,27,40,0.041CBM,0.203CBM,10.5KGS,52.5KGS,CN¥7.80,CN¥468.00
30,,glass ice bucket,"glass ice bucket
1pcs/color box unit:pcs
Glass+wooden stand",12pcs/ctn,5CTNS,60pcs,54,36,50,0.097CBM,0.486CBM,19.0KGS,95.0KGS,CN¥32.00,"CN¥1,920.00"
31,,glass cup,"glass cup
2pcs/color box Unit:Set
8.8*7.6*5cm",12pcs/ctn,5CTNS,60pcs,41,31,22,0.028CBM,0.140CBM,7.9KGS,39.5KGS,CN¥16.00,CN¥960.00
32,, Glass bottle,"1000ml Glass bottle
12pcs/display box 
Unit:Pcs
8*28.7cm",24pcs/ctn,5CTNS,120pcs,55.5,35.5,32,0.063CBM,0.315CBM,16.0KGS,80.0KGS,CN¥4.60,CN¥552.00
33,, Glass bottle,"Glass bottle
1pcs/clour box unit:pcs
7*27cm 870ml",24pcs/ctn,5CTNS,120pcs,44,34,59,0.088CBM,0.441CBM,15.0KGS,75.0KGS,CN¥10.50,"CN¥1,260.00"
34,,Vacuum Jug,"Vacuum Jug-1.3L
Color box,Unit:PCS
12*12*26cm
S.S. 304,201+ABS + PP",12pcs/ctn,10CTNS,120pcs,56,47,29,0.076CBM,0.763CBM,9.8KGS,98.0KGS,CN¥47.00,"CN¥5,640.00"
35,,Vacuum Jug,"Vacuum Jug-1.3L
Color box,Unit:PCS
12*12*26cm
S.S. 304,201+ABS + PP",12pcs/ctn,10CTNS,120pcs,56,47,29,0.076CBM,0.763CBM,9.8KGS,98.0KGS,CN¥47.00,"CN¥5,640.00"
36,,Vacuum Jug,"Vacuum Jug-1L Black
Rose Glass Liner
Color box,Unit:PCS
15*15*27cm
PP+Glass",12pcs/ctn,3CTNS,36pcs,69.5,53,29.5,0.109CBM,0.326CBM,12.0KGS,36.0KGS,CN¥31.00,"CN¥1,116.00"
37,,Vacuum Jug,"Vacuum Jug-1L White
Rose Glass Liner
Color box,Unit:PCS
15*15*27cm
PP+Glass",12pcs/ctn,3CTNS,36pcs,69.5,53,29.5,0.109CBM,0.326CBM,12.0KGS,36.0KGS,CN¥31.00,"CN¥1,116.00"
38,,Vacuum Jug,"Vacuum Jug-1.3L
Color box,Unit:PCS
12*12*26cm
S.S. 304,201+ABS + PP",12pcs/ctn,5CTNS,60pcs,56,47,29,0.076CBM,0.382CBM,9.8KGS,49.0KGS,CN¥47.00,"CN¥2,820.00"
39,,Bread Box,"Bread Box
Unit:PCS
35.6*21.5*19.7cm
Iron+Rubber Wood",4pcs/ctn,5CTNS,20pcs,46,37,46,0.078CBM,0.391CBM,10.7KGS,53.5KGS,CN¥46.00,CN¥920.00
40,,Bread Box,"Square Bread Box
Unit:PCS
35.6*21.8*20cm
Iron+Bamboo",4pcs/ctn,5CTNS,20pcs,50,37,46,0.085CBM,0.426CBM,10.7KGS,53.5KGS,CN¥46.00,CN¥920.00
41,,Glass Juice Jar set,"Glass Juice Jar set
3pcs/color box Unit:set
15*25.5cmH,
900ml",6pcs/ctn,5CTNS,30pcs,50.6,37,34,0.064CBM,0.318CBM,10.6KGS,53.0KGS,CN¥19.50,CN¥585.00
42,,Glass cup,"Glass cup
2pcs/color box ,Unit:Box
8.4*12.1*5cm
400ml",12pcs/ctn,5CTNS,60pcs,30.5,37.5,29,0.033CBM,0.166CBM,7.3KGS,36.5KGS,CN¥21.00,"CN¥1,260.00"
43,,Glass storage jar,"Glass storage jar
3pcs/color box ,Unit:set
750ml 10*12.7cm",8pcs/ctn,10CTNS,80pcs,46,34,29,0.045CBM,0.454CBM,8.1KGS,80.5KGS,CN¥29.00,"CN¥2,320.00"
44,,Glass storage jar,"Glass storage jar
3pcs/color box ,Unit:set
750ml 10*12.7cm",8pcs/ctn,5CTNS,40pcs,46,34,29,0.045CBM,0.227CBM,9.0KGS,45.0KGS,CN¥29.00,"CN¥1,160.00"
45,,storage jar,"1900ml storage jar
with spoon Unit:pcs
10*10*H23cm 
glass",24pcs/ctn,15CTNS,360pcs,44,40.5,51,0.091CBM,1.363CBM,14.0KGS,210.0KGS,CN¥12.00,"CN¥4,320.00"
