NO：26C405-1Z,,,义乌市佰世威厨具有限公司送货单,,,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,送货日期：2060-04-23 14:35,,,,,,,,,,
联系电话：,,,,,,,,,,,,,仓库电话：13373848121,,,,,,,,,,
送货地址：,,,,,,,,,,,,,订货地址：国际商贸城2区21号门3楼F3-16026/16429,,,,,,,,,,
无标无唛     4.28两地装（先一正，后秒账）,,,,,,,,,,,,,"三仓：204件/11.4刀叉勺：8件/0.2m³
东阳：364件/21.9m³
秒账：669件/35.3m³",,,,,,,,,,
"NO.
编号","DEL NO.
送货单号","CUS NO.
客户货号","ITEM NO.
产品货号","PHOTO
图片","DES.
描述","CTN
总箱数","QTY
每箱数量","T.QTY
总数量","U/P
单价","AMOUNT
金额","L   W   H
外箱尺寸(m³)",,,"CBM
体积","G.W.
重量","TTL CBM
总体积","TTL KGS
总重量","CODE
条形码","REK
备注",W.H.,,,
,,,,,,,,,,,,,,,,,,,,仓库,,,
1,26C405-1Q,SAN39,CZT09-01,,"500ml tea pot
1pcs/color",10,36,360,12,4320,48,45,38,0.08,17.8,0.82,178,6665202018129,,浦江仓,,,
2,26C405-1Q,SAN25,PL012-18,,"Glass Lid Unit:PCS
18cm",5,12,60,11.5,690,40,20,34,0.03,5.2,0.14,26,6667202132027,,东阳仓,,,
3,26C405-1Q,,1030-8/9744-1,,"12""Bakewar e
6pcs/displa",10,6,60,19,1140,48,35,27,0.05,14,0.45,140,6812505600388,,浦江仓,,,
4,26C405-1Q,,0801-3,,"9.8""Bakewa re
6pcs/displa",5,6,30,12,360,42,26,19,0.02,6.8,0.10,34,6812505600081,,浦江仓,,,
5,26C405-1Q,,W-KP2,,"11""Bakewar e
6pcs/displa",12,6,72,13,936,41.5,29.5,20,0.02,6.8,0.29,81.6,6665202018846,,浦江仓,,,
6,26C405-1Q,,VF010B,,"Vacuum Jug-1L
Unit:PCS",5,12,60,35,2100,52,39.5,25,0.05,6.2,0.26,31,6667202132744,,浦江仓,,,
7,26C405-1Q,,VF010A,,"Vacuum Jug-0.6L
Unit:PCS",5,12,60,31,1860,52,39.5,20,0.04,5.2,0.21,26,6667202132737,,浦江仓,,,
8,26C405-1Q,,VF010C,,"Vacuum Jug-1.5L
Unit:PCS",5,12,60,38,2280,52,39.5,30.8,0.06,7.2,0.32,36,6667202132751,,浦江仓,,,
9,26C405-1Q,,2501-115,,"Coffee Cup 600ML
Unit:PCS",10,18,180,25,4500,59.5,33,22,0.04,6.2,0.43,62,6667202129027,,东阳仓,,,
10,26C405-1Q,SAN21,1988-138,,"glass cake plate
2 pcs/color",20,2,40,52,2080,66,33,36.5,0.08,22,1.59,440,6919882401383,4-2,东阳仓,,,
11,26C405-1Q,,CB-123,,"Glass cup 2pcs/color
box",5,12,60,24,1440,52,36.8,30.7,0.06,5.3,0.29,26.5,6663212163235,,浦江仓,,,
12,26C405-1Q,,CB-122,,"Glass cup 2pcs/color
box",5,12,60,25,1500,41,31.5,47.5,0.06,6,0.31,30,6663212163228,,浦江仓,,,
13,26C405-1Q,,LJT12-30-1,,"30LTrash Can
Egg",20,1,20,84.5,1690,33,32,67.5,0.07,3.78,1.43,75.6,6720220701887,,东阳仓,,,
14,26C405-1Q,,LJT12-12-1,,"12LTrash Can
Egg",10,4,40,47.4,1896,57.5,55,43.5,0.14,8,1.38,80,6720220701870,,东阳仓,,,
15,26C405-1Q,,SF41-7,,"700ml tea pot
17.5*17.5*1",10,24,240,14,3360,55,31,40.5,0.07,12,0.69,120,6665202091542,,浦江仓,,,
1,26C405-1T,,MO-012-20,,"Sauce Pan without Lid
Unit:PCS",10,6,60,39,2340,45,30.5,35.5,0.05,5.6,0.49,56,6667202130535,,浦江仓,,,
2,26C405-1T,SAN36,MO-012-18,,"Sauce Pan without Lid
Unit:PCS",10,6,60,35,2100,41.5,26.5,33,0.04,4.8,0.36,48,6667202130528,,浦江仓,,,
3,26C405-1T,,MO-012-16,,"Sauce Pan without Lid
Unit:PCS",5,6,30,29,870,37.5,25.5,27,0.03,4,0.13,20,6667202130511,,浦江仓,,,
4,26C405-1T,,C012-26,,"Casserole Unit:PCS
26*11.0*2.5",10,6,60,69,4140,45,28,32,0.04,10.5,0.40,105,6667202130566,,东阳仓,,,
5,26C405-1T,,C012-24,,"Casserole Unit:PCS
24*10.5*2.5",10,6,60,63,3780,53,39,40,0.08,11.2,0.83,112,6667202130559,,东阳仓,,,
6,26C405-1T,,C012-20,,"Casserole Unit:PCS
20*93*2.5c",10,6,60,53,3180,46.5,33,37,0.06,8.9,0.57,89,6667202130542,,东阳仓,,,
